,DATABASE_NAME,SCHEMA,NAME,TYPE,SELF_REFERENCING_COL_NAME,DATABASE
70,V8_NEWYORK_NY_LIVE,COMMON,REIMAGESIMAGE_bak_20231002,TABLE,,production
71,V8_NEWYORK_NY_LIVE,COMMON,RULE,TABLE,,production
72,V8_NEWYORK_NY_LIVE,COMMON,RULE_LOG,TABLE,,production
73,V8_NEWYORK_NY_LIVE,COMMON,RULE_MAP,TABLE,,production
74,V8_NEWYORK_NY_LIVE,COMMON,RULE_TERM,TABLE,,production
75,V8_NEWYORK_NY_LIVE,COMMON,SALE_STAMP_RATE,TABLE,,production
76,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_BLDGSIZEGROUP,TABLE,,production
77,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_LOTSIZEGROUP,TABLE,,production
78,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_MARKETVALUEGROUP,TABLE,,production
79,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_RATIOINTERVALGROUP,TABLE,,production
80,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_SALEPRICEGROUP,TABLE,,production
81,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSIS_YEARBUILTGROUP,TABLE,,production
82,V8_NEWYORK_NY_LIVE,COMMON,SALESANALYSISSETTINGS,TABLE,,production
83,V8_NEWYORK_NY_LIVE,COMMON,SEARCHCOLUMNS,TABLE,,production
84,V8_NEWYORK_NY_LIVE,COMMON,SEARCHCONFIGURATION,TABLE,,production
85,V8_NEWYORK_NY_LIVE,COMMON,SEARCHTABLES,TABLE,,production
86,V8_NEWYORK_NY_LIVE,COMMON,SEQUENCES,TABLE,,production
87,V8_NEWYORK_NY_LIVE,COMMON,SITE_ADDRESS,TABLE,,production
88,V8_NEWYORK_NY_LIVE,COMMON,SITE_ADDRESS_UNIT,TABLE,,production
89,V8_NEWYORK_NY_LIVE,COMMON,SPATIALQUERY,TABLE,,production
90,V8_NEWYORK_NY_LIVE,COMMON,SPATIALQUERYLEGEND,TABLE,,production
91,V8_NEWYORK_NY_LIVE,COMMON,STREET,TABLE,,production
92,V8_NEWYORK_NY_LIVE,COMMON,SUBMUNICIP,TABLE,,production
93,V8_NEWYORK_NY_LIVE,COMMON,TABLE_SEQUENCES,TABLE,,production
94,V8_NEWYORK_NY_LIVE,COMMON,TAX_AUTHORITY,TABLE,,production
95,V8_NEWYORK_NY_LIVE,COMMON,TAX_AUTHORITY_GROUPS,TABLE,,production
96,V8_NEWYORK_NY_LIVE,COMMON,TEMPLATE_PARAMS,TABLE,,production
97,V8_NEWYORK_NY_LIVE,COMMON,TEMPLATE_URLS,TABLE,,production
98,V8_NEWYORK_NY_LIVE,COMMON,USERACCESSSETTINGS,TABLE,,production
99,V8_NEWYORK_NY_LIVE,COMMON,USERACCESSSETTINGS_ORIG,TABLE,,production
100,V8_NEWYORK_NY_LIVE,COMMON,USRAUDIT,TABLE,,production
101,V8_NEWYORK_NY_LIVE,COMMON,VISION_VERSION,TABLE,,production
102,V8_NEWYORK_NY_LIVE,COMMON,WORKSPACE,TABLE,,production
